Gene name	Gene stable ID
exh-1	WBGene00016474
phat-1	WBGene00016732
oac-9	WBGene00016753
sre-52	WBGene00016828
C50F7.5	WBGene00016845
fbxb-97	WBGene00016885
srb-19	WBGene00016928
C55B7.3	WBGene00016942
F07B7.8	WBGene00017189
F08F3.4	WBGene00017262
F09C12.8	WBGene00017279
lgc-51	WBGene00017399
F15E6.4	WBGene00017485
dct-7	WBGene00017488
srbc-15	WBGene00017496
F16G10.11	WBGene00017526
F23C8.11	WBGene00017739
F26F12.4	WBGene00017835
F35F10.10	WBGene00018059
folt-2	WBGene00018138
F38B6.2	WBGene00018172
fip-4	WBGene00018291
F42A10.7	WBGene00018343
F43E2.11	WBGene00018397
nhr-37	WBGene00018412
ceh-81	WBGene00018434
otpl-7	WBGene00018480
F47B3.2	WBGene00018526
ugt-32	WBGene00018543
nhr-189	WBGene00018545
F49D11.6	WBGene00018630
F56A4.2	WBGene00018910
F56A4.6	WBGene00018914
irld-35	WBGene00018917
F56C3.1	WBGene00018938
srz-19	WBGene00018972
nspb-6	WBGene00019152
irld-43	WBGene00019390
K06C4.1	WBGene00019442
K06H6.5	WBGene00019453
K06H7.8	WBGene00019459
fbxc-25	WBGene00019591
irld-13	WBGene00019845
R05C11.2	WBGene00019874
R05G9.3	WBGene00019905
clec-43	WBGene00019917
fbxc-29	WBGene00019923
R07C12.1	WBGene00019931
R12E2.8	WBGene00020034
R13H9.6	WBGene00020072
T02G5.11	WBGene00020167
ugt-53	WBGene00020182
T05B4.8	WBGene00020239
T05B4.9	WBGene00020240
ferl-1	WBGene00020262
T12E12.6	WBGene00020465
T15B7.1	WBGene00020516
T20H9.6	WBGene00020642
T25G12.1	WBGene00020809
T28A11.20	WBGene00020882
W02F12.2	WBGene00020947
W08E12.6	WBGene00021087
clec-209	WBGene00021224
Y37E11B.9	WBGene00021380
srd-73	WBGene00021570
srd-72	WBGene00021572
Y45G12C.10	WBGene00021573
Y54G2A.28	WBGene00021892
affl-1	WBGene00021911
cylc-1	WBGene00021996
Y69A2AR.12	WBGene00022083
Y71F9AL.7	WBGene00022112
nhr-277	WBGene00022374
ZC262.4	WBGene00022581
ZK6.6	WBGene00022641
ZK105.1	WBGene00022653
ZK402.3	WBGene00022730
ZK470.6	WBGene00022747
fbxa-224	WBGene00022890
Y73B3A.17	WBGene00023191
C39H7.2	WBGene00023252
F17E9.14	WBGene00023270
ZK488.3	WBGene00023402
srz-83	WBGene00023462
nspc-12	WBGene00023493
sre-34	WBGene00043058
nspd-6	WBGene00043147
Y45F10D.16	WBGene00044257
F56D6.8	WBGene00044292
nspc-5	WBGene00044340
C27A2.7	WBGene00044386
dct-8	WBGene00044472
F32D1.11	WBGene00044530
K09H11.9	WBGene00044539
T23E7.6	WBGene00044772
ZC262.9	WBGene00044801
ZC262.10	WBGene00044802
ceh-63	WBGene00045215
ZK180.7	WBGene00045248
K10C2.8	WBGene00045265
clec-253	WBGene00045361
C10A4.9	WBGene00045456
K10G4.13	WBGene00077629
K09A9.8	WBGene00194849
Y25C1A.14	WBGene00194985
C33C12.12	WBGene00219322
C18D4.12	WBGene00219493
LLC1.121	WBGene00235121
K04A8.20	WBGene00235332
T02H6.12	WBGene00268211
T05A7.12	WBGene00271414
F54D8.10	WBGene00284847
Y57G11C.1147	WBGene00303007
H40L08.7	WBGene00303024
F47G4.14	WBGene00303058
Y55B1BL.2	WBGene00303093
