Gene name	Gene stable ID
F44E5.5	WBGene00009692
F46A8.7	WBGene00009750
cutl-18	WBGene00009830
clec-28	WBGene00009857
F49C12.2	WBGene00009872
F49C12.4	WBGene00009874
dod-23	WBGene00009898
F49H6.13	WBGene00009914
cnc-7	WBGene00010005
F55C9.3	WBGene00010100
F55G11.2	WBGene00010123
F55G11.8	WBGene00010128
F56D5.3	WBGene00010148
gmd-2	WBGene00010166
F57G8.7	WBGene00010216
K01D12.1	WBGene00010461
K08D8.5	WBGene00010659
dod-17	WBGene00010745
sodh-2	WBGene00010791
clec-190	WBGene00010953
chil-17	WBGene00011159
R10D12.15	WBGene00011196
T04C10.3	WBGene00011426
T05F1.9	WBGene00011494
T05H10.3	WBGene00011508
T08G5.1	WBGene00011622
oac-43	WBGene00011653
T10H4.4	WBGene00011697
glct-3	WBGene00011781
T15D6.8	WBGene00011782
sysm-1	WBGene00011979
srz-99	WBGene00012028
W04E12.9	WBGene00012254
lpr-4	WBGene00012257
pitr-6	WBGene00012285
mltn-11	WBGene00012310
W08G11.1	WBGene00012346
Y6E2A.7	WBGene00012400
hpo-2	WBGene00012500
comt-2	WBGene00012518
Y37A1B.7	WBGene00012540
clec-4	WBGene00012583
nspe-3	WBGene00012590
nspe-6	WBGene00012603
nspe-2	WBGene00012604
clec-163	WBGene00012661
Y39B6A.1	WBGene00012664
Y41C4A.11	WBGene00012757
Y45F10C.1	WBGene00012877
Y53F4B.8	WBGene00013155
zipt-2.3	WBGene00013207
Y70C5C.1	WBGene00013492
clec-9	WBGene00013493
irld-59	WBGene00013525
clec-27	WBGene00013607
Y116A8B.1	WBGene00013779
ZK218.3	WBGene00013937
clec-58	WBGene00014043
clec-143	WBGene00014063
ZK892.6	WBGene00014130
ZK896.4	WBGene00014135
srlf-34	WBGene00014173
srz-10	WBGene00014195
F54F3.2	WBGene00014770
B0348.2	WBGene00015152
gsto-2	WBGene00015337
C02E7.7	WBGene00015340
tag-293	WBGene00015398
irg-1	WBGene00015574
C08A9.3	WBGene00015583
fbxa-162	WBGene00015597
fbxa-158	WBGene00015602
nhr-155	WBGene00015758
C14C6.6	WBGene00015760
C15B12.2	WBGene00015784
math-15	WBGene00015829
math-10	WBGene00015839
C17B7.5	WBGene00015879
C17H12.6	WBGene00015932
C18F10.9	WBGene00015979
C18H2.4	WBGene00015991
delm-2	WBGene00016063
C26B9.7	WBGene00016136
grsp-3	WBGene00016403
clec-3	WBGene00016577
C45H4.14	WBGene00016695
oac-10	WBGene00016773
C52E2.5	WBGene00016884
swt-2	WBGene00016922
C56G2.5	WBGene00016980
dylt-2	WBGene00017014
D2063.1	WBGene00017060
F07B7.2	WBGene00017186
F09F9.2	WBGene00017307
F14F9.3	WBGene00017466
pud-1.1	WBGene00017499
F19C7.4	WBGene00017594
F22F1.2	WBGene00017714
F36F12.1	WBGene00018092
F47B3.2	WBGene00018526
pdf-2	WBGene00018590
F49D11.6	WBGene00018630
drd-50	WBGene00018643
oac-32	WBGene00018708
F56A4.3	WBGene00018911
irld-35	WBGene00018917
F56A4.10	WBGene00018918
clec-67	WBGene00018971
srz-20	WBGene00018973
F58E2.2	WBGene00019046
K09C4.4	WBGene00019549
K09C6.9	WBGene00019563
K10C9.4	WBGene00019625
K11H12.4	WBGene00019660
K11H12.5	WBGene00019661
M151.2	WBGene00019794
R03H10.2	WBGene00019855
R03H10.6	WBGene00019858
R05D8.7	WBGene00019885
R05D8.9	WBGene00019886
R05D8.11	WBGene00019887
nhr-270	WBGene00020062
T08E11.1	WBGene00020357
lips-11	WBGene00020472
T19D12.3	WBGene00020578
ugt-10	WBGene00020594
T20D4.3	WBGene00020609
T28A11.6	WBGene00020873
T28A11.18	WBGene00020880
W03B1.1	WBGene00020971
oac-51	WBGene00020976
W09B7.2	WBGene00021107
irld-53	WBGene00021222
Y19D10B.4	WBGene00021233
irld-16	WBGene00021234
Y41G9A.5	WBGene00021529
Y45G12C.6	WBGene00021569
clec-71	WBGene00021582
clec-74	WBGene00021585
Y49G5A.1	WBGene00021731
fbxa-48	WBGene00021862
Y58A7A.4	WBGene00021978
Y58A7A.5	WBGene00021979
Y65B4BR.1	WBGene00022040
clec-210	WBGene00022261
F49F1.13	WBGene00023288
C35A5.11	WBGene00044024
D1086.10	WBGene00044080
srbc-84	WBGene00044106
F28H6.8	WBGene00044137
Y68A4A.13	WBGene00044212
C38D4.10	WBGene00044225
C18H7.11	WBGene00044457
K10C9.9	WBGene00044515
B0238.15	WBGene00044537
F41E6.15	WBGene00044554
F23A7.8	WBGene00044638
F26G1.10	WBGene00044663
K11H12.11	WBGene00044723
M199.9	WBGene00044998
Y67A10A.13	WBGene00045099
srlf-12	WBGene00045207
C29E4.15	WBGene00045246
Y37H2A.14	WBGene00045416
F15H9.7	WBGene00077535
ZC116.5	WBGene00119204
C06E7.88	WBGene00189995
W09C5.12	WBGene00194660
Y105C5A.1271	WBGene00194667
ZC513.14	WBGene00194928
Y17D7B.10	WBGene00194982
F57G4.11	WBGene00195165
F14F7.7	WBGene00206390
T02G5.15	WBGene00206521
W05H12.4	WBGene00219206
C04C3.14	WBGene00219410
K09F6.13	WBGene00235164
F20D12.12	WBGene00249815
spp-27	WBGene00271815
T14B4.19	WBGene00302993
T06D10.8	WBGene00303078
